Agency,Total spend (approx),DISTRICT_NAME,STATENAME,NATIONAL DATA ID,STREET_ADDRESS,CITY,COMPANY_DOMAIN
"Texas Parks & Wildlife Department, Texas",NDA,TEXAS PARKS & WILDLIFE DEPARTMENT,TEXAS,,,,
"Geneva Community Unit School District 304, Illinois",NDA,GENEVA COMMUNITY UNIT SCHOOL DISTRICT 304,ILLINOIS,,,,
"Tolt Middle School, Washington",NDA,TOLT MIDDLE SCHOOL,WASHINGTON,,,,
"Oregon State University, Oregon",NDA,OREGON STATE UNIVERSITY,OREGON,,,,
"Clayton State University, Georgia",NDA,CLAYTON STATE UNIVERSITY,GEORGIA,,,,
"Western Kentucky University, Kentucky",NDA,WESTERN KENTUCKY UNIVERSITY,KENTUCKY,,,,
"Youngstown State University, Ohio",NDA,YOUNGSTOWN STATE UNIVERSITY,OHIO,,,,
"Denison Community School District, Iowa",NDA,DENISON COMMUNITY SCHOOL DISTRICT,IOWA,,,,
"Stewartville Public School District No. 534, Minnesota",NDA,STEWARTVILLE PUBLIC SCHOOL DISTRICT NO. 534,MINNESOTA,,,,
"Millersville University Of Pennsylvania, Pennsylvania",NDA,MILLERSVILLE UNIVERSITY OF PENNSYLVANIA,PENNSYLVANIA,,,,
"East Mills Community School District, Iowa",NDA,EAST MILLS COMMUNITY SCHOOL DISTRICT,IOWA,,,,
"Berkner High School, Texas",NDA,BERKNER HIGH SCHOOL,TEXAS,,,,
"New Milford Borough School District, New Jersey",NDA,NEW MILFORD BOROUGH SCHOOL DISTRICT,NEW JERSEY,,,,
"University of Massachusetts - Amherst, Massachusetts",NDA,UNIVERSITY OF MASSACHUSETTS - AMHERST,MASSACHUSETTS,,,,
"Bucks County Community College, Pennsylvania",NDA,BUCKS COUNTY COMMUNITY COLLEGE,PENNSYLVANIA,,,,
"New York City School District #4, New York",NDA,NEW YORK CITY SCHOOL DISTRICT #4,NEW YORK,,,,
"Cozad City Schools, Nebraska",NDA,COZAD CITY SCHOOLS,NEBRASKA,,,,
"Kane County, Utah",NDA,KANE COUNTY,UTAH,,,,
"Goddard USD 265, Kansas",NDA,GODDARD USD 265,KANSAS,,,,
"Lehman College CUNY , New York",NDA,LEHMAN COLLEGE CUNY ,NEW YORK,,,,
"Deptford Township School District, New Jersey",NDA,DEPTFORD TOWNSHIP SCHOOL DISTRICT,NEW JERSEY,,,,
"National Institute of Neurological Disorders and Stroke (NINDS), Maryland",NDA,NATIONAL INSTITUTE OF NEUROLOGICAL DISORDERS AND STROKE (NINDS),MARYLAND,,,,
"City of Burlington Public Schools, New Jersey",NDA,CITY OF BURLINGTON PUBLIC SCHOOLS,NEW JERSEY,,,,
"Hull-Daisetta Independent School District, Texas",NDA,HULL-DAISETTA INDEPENDENT SCHOOL DISTRICT,TEXAS,,,,
"University of Colorado at Boulder, Colorado",NDA,UNIVERSITY OF COLORADO AT BOULDER,COLORADO,,,,
"Village of Round Lake Beach, Illinois",NDA,VILLAGE OF ROUND LAKE BEACH,ILLINOIS,,,,
"Havre Public Schools, Montana",NDA,HAVRE PUBLIC SCHOOLS,MONTANA,,,,
"University of Texas at Dallas, Texas",NDA,UNIVERSITY OF TEXAS AT DALLAS,TEXAS,,,,
"City of Atlanta, Georgia",NDA,CITY OF ATLANTA,GEORGIA,,,,
"Hartsfield-Jackson Atlanta International Airport, Georgia",NDA,HARTSFIELD-JACKSON ATLANTA INTERNATIONAL AIRPORT,GEORGIA,,,,
"Evanston-Skokie Community Consolidated School District No. 65, Illinois",NDA,EVANSTON-SKOKIE COMMUNITY CONSOLIDATED SCHOOL DISTRICT NO. 65,ILLINOIS,,,,
"Albert Lea Area Schools, Minnesota",NDA,ALBERT LEA AREA SCHOOLS,MINNESOTA,,,,
"Devils Lake Public Schools, North Dakota",NDA,DEVILS LAKE PUBLIC SCHOOLS,NORTH DAKOTA,,,,
"Othello School District 147, Washington",NDA,OTHELLO SCHOOL DISTRICT 147,WASHINGTON,,,,
"Greencastle-Antrim School District, Pennsylvania",NDA,GREENCASTLE-ANTRIM SCHOOL DISTRICT,PENNSYLVANIA,,,,
"St. Bernard Parish Public Schools, Louisiana",NDA,ST. BERNARD PARISH PUBLIC SCHOOLS,LOUISIANA,,,,
"Georgia Department of Natural Resources, Georgia",NDA,GEORGIA DEPARTMENT OF NATURAL RESOURCES,GEORGIA,,,,
"Peace River-Manasota Regional Water Supply Authority, Florida",NDA,PEACE RIVER-MANASOTA REGIONAL WATER SUPPLY AUTHORITY,FLORIDA,,,,
"Albuquerque School of Excellence, New Mexico",NDA,ALBUQUERQUE SCHOOL OF EXCELLENCE,NEW MEXICO,,,,
"Bowling Green State University, Ohio",NDA,BOWLING GREEN STATE UNIVERSITY,OHIO,,,,
"Hennepin County, Minnesota",NDA,HENNEPIN COUNTY,MINNESOTA,,,,
"City of Midland, Michigan",NDA,CITY OF MIDLAND,MICHIGAN,,,,
"National Institute on Drug Abuse (NIDA), Maryland",NDA,NATIONAL INSTITUTE ON DRUG ABUSE (NIDA),MARYLAND,,,,
"Waterford Unified School District, California",NDA,WATERFORD UNIFIED SCHOOL DISTRICT,CALIFORNIA,,,,
"Franklin County Technical School, Massachusetts",NDA,FRANKLIN COUNTY TECHNICAL SCHOOL,MASSACHUSETTS,,,,
"County of Solano, California",NDA,COUNTY OF SOLANO,CALIFORNIA,,,,
"Piner-Olivet Union School District, California",NDA,PINER-OLIVET UNION SCHOOL DISTRICT,CALIFORNIA,,,,
"St. Mary's Area School District, Pennsylvania",NDA,ST. MARY'S AREA SCHOOL DISTRICT,PENNSYLVANIA,,,,
"SUNY Stony Brook University, New York",NDA,SUNY STONY BROOK UNIVERSITY,NEW YORK,,,,
"Oley Valley School District, Pennsylvania",NDA,OLEY VALLEY SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Cicero Public School District No. 99, Illinois",NDA,CICERO PUBLIC SCHOOL DISTRICT NO. 99,ILLINOIS,,,,
"Deer Lakes School District, Pennsylvania",NDA,DEER LAKES SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Shawnee Community College, Illinois",NDA,SHAWNEE COMMUNITY COLLEGE,ILLINOIS,,,,
"Borough of Pottstown, Pennsylvania",NDA,BOROUGH OF POTTSTOWN,PENNSYLVANIA,,,,
"Eagle Mountain-Saginaw ISD, Texas",NDA,EAGLE MOUNTAIN-SAGINAW ISD,TEXAS,,,,
"Marlington Local School District, Ohio",NDA,MARLINGTON LOCAL SCHOOL DISTRICT,OHIO,,,,
"University of North Texas System, Texas",NDA,UNIVERSITY OF NORTH TEXAS SYSTEM,TEXAS,,,,
"Slippery Rock Area School District, Pennsylvania",NDA,SLIPPERY ROCK AREA SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Tri-County Public School District 300, Nebraska",NDA,TRI-COUNTY PUBLIC SCHOOL DISTRICT 300,NEBRASKA,,,,
"Pasadena City College, California",NDA,PASADENA CITY COLLEGE,CALIFORNIA,,,,
"Georgia State University, Georgia",NDA,GEORGIA STATE UNIVERSITY,GEORGIA,,,,
"Creston Community School District, Iowa",NDA,CRESTON COMMUNITY SCHOOL DISTRICT,IOWA,,,,
"Parkland School District, Pennsylvania",NDA,PARKLAND SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Town of Northbridge, Massachusetts",NDA,TOWN OF NORTHBRIDGE,MASSACHUSETTS,,,,
"Tea Area School District, South Dakota",NDA,TEA AREA SCHOOL DISTRICT,SOUTH DAKOTA,,,,
"Elizabeth City State University, North Carolina",NDA,ELIZABETH CITY STATE UNIVERSITY,NORTH CAROLINA,,,,
"Fort Sam Houston ISD, Texas",NDA,FORT SAM HOUSTON ISD,TEXAS,,,,
"City of Los Angeles, California",NDA,CITY OF LOS ANGELES,CALIFORNIA,,,,
"Smithton R-VI School District, Missouri",NDA,SMITHTON R-VI SCHOOL DISTRICT,MISSOURI,,,,
"Virginia State University, Virginia",NDA,VIRGINIA STATE UNIVERSITY,VIRGINIA,,,,
"The Smithtown Library, New York",NDA,THE SMITHTOWN LIBRARY,NEW YORK,,,,
"Trinity Area School District, Pennsylvania",NDA,TRINITY AREA SCHOOL DISTRICT,PENNSYLVANIA,,,,
"George Mason University, Virginia",NDA,GEORGE MASON UNIVERSITY,VIRGINIA,,,,
"Long Branch City School District, New Jersey",NDA,LONG BRANCH CITY SCHOOL DISTRICT,NEW JERSEY,,,,
"Public Schools of Northborough and Southborough, Massachusetts",NDA,PUBLIC SCHOOLS OF NORTHBOROUGH AND SOUTHBOROUGH,MASSACHUSETTS,,,,
"Shaler Area High School, Pennsylvania",NDA,SHALER AREA HIGH SCHOOL,PENNSYLVANIA,,,,
"University of Iowa, Iowa",NDA,UNIVERSITY OF IOWA,IOWA,,,,
"Republic School District, Missouri",NDA,REPUBLIC SCHOOL DISTRICT,MISSOURI,,,,
"South Harrison Community School Corporation, Indiana",NDA,SOUTH HARRISON COMMUNITY SCHOOL CORPORATION,INDIANA,,,,
"Walnut Creek School District, California",NDA,WALNUT CREEK SCHOOL DISTRICT,CALIFORNIA,,,,
"New York City School District #6, New York",NDA,NEW YORK CITY SCHOOL DISTRICT #6,NEW YORK,,,,
"Millville Area School District, Pennsylvania",NDA,MILLVILLE AREA SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Avon Lake City School District, Ohio",NDA,AVON LAKE CITY SCHOOL DISTRICT,OHIO,,,,
"R. Brown McAllister STEM Elementary, North Carolina",NDA,R. BROWN MCALLISTER STEM ELEMENTARY,NORTH CAROLINA,,,,
"Mid-Prairie Community School District, Iowa",NDA,MID-PRAIRIE COMMUNITY SCHOOL DISTRICT,IOWA,,,,
"Octorara Area School District, Pennsylvania",NDA,OCTORARA AREA SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Princess Anne Elementary School, Virginia",NDA,PRINCESS ANNE ELEMENTARY SCHOOL,VIRGINIA,,,,
"Alsip-Hazelgreen-Oak Lawn School District No. 126, Illinois",NDA,ALSIP-HAZELGREEN-OAK LAWN SCHOOL DISTRICT NO. 126,ILLINOIS,,,,
"Faribault Public School District No. 656, Minnesota",NDA,FARIBAULT PUBLIC SCHOOL DISTRICT NO. 656,MINNESOTA,,,,
"Southwestern Community College, North Carolina",NDA,SOUTHWESTERN COMMUNITY COLLEGE,NORTH CAROLINA,,,,
"Warwick School District, Rhode Island",NDA,WARWICK SCHOOL DISTRICT,RHODE ISLAND,,,,
"J. Sterling Morton High School District No. 201, Illinois",NDA,J. STERLING MORTON HIGH SCHOOL DISTRICT NO. 201,ILLINOIS,,,,
"City University of New York CUNY, New York",NDA,CITY UNIVERSITY OF NEW YORK CUNY,NEW YORK,,,,
"College of Staten Island CUNY, New York",NDA,COLLEGE OF STATEN ISLAND CUNY,NEW YORK,,,,
"Juneau Community Charter School, Alaska",NDA,JUNEAU COMMUNITY CHARTER SCHOOL,ALASKA,,,,
"Bethany Elementary School, California",NDA,BETHANY ELEMENTARY SCHOOL,CALIFORNIA,,,,
"Bleyl Middle School, Texas",NDA,BLEYL MIDDLE SCHOOL,TEXAS,,,,
"Clay County School District, Florida",NDA,CLAY COUNTY SCHOOL DISTRICT,FLORIDA,,,,
"Iberia Parish School District, Louisiana",NDA,IBERIA PARISH SCHOOL DISTRICT,LOUISIANA,,,,
"Pio Pico Elementary School, California",NDA,PIO PICO ELEMENTARY SCHOOL,CALIFORNIA,,,,
"Vista Unified School District, California",NDA,VISTA UNIFIED SCHOOL DISTRICT,CALIFORNIA,,,,
"Brazoria County, Texas",NDA,BRAZORIA COUNTY,TEXAS,,,,
"Silverado Middle School, California",NDA,SILVERADO MIDDLE SCHOOL,CALIFORNIA,,,,
"Tipton Community School Corporation, Indiana",NDA,TIPTON COMMUNITY SCHOOL CORPORATION,INDIANA,,,,
"Briar Glen Elementary School, Illinois",NDA,BRIAR GLEN ELEMENTARY SCHOOL,ILLINOIS,,,,
"Glen Ellyn Community Consolidated School District No. 89, Illinois",NDA,GLEN ELLYN COMMUNITY CONSOLIDATED SCHOOL DISTRICT NO. 89,ILLINOIS,,,,
"Palm Beach State College, Florida",NDA,PALM BEACH STATE COLLEGE,FLORIDA,,,,
"Ventura Unified School District, California",NDA,VENTURA UNIFIED SCHOOL DISTRICT,CALIFORNIA,,,,
"Princeton Public Schools, New Jersey",NDA,PRINCETON PUBLIC SCHOOLS,NEW JERSEY,,,,
"Grinnell-Newburg Community School District, Iowa",NDA,GRINNELL-NEWBURG COMMUNITY SCHOOL DISTRICT,IOWA,,,,
"New York City School District #27, New York",NDA,NEW YORK CITY SCHOOL DISTRICT #27,NEW YORK,,,,
"Estherville Lincoln Central Community School District, Iowa",NDA,ESTHERVILLE LINCOLN CENTRAL COMMUNITY SCHOOL DISTRICT,IOWA,,,,
"Amphitheater Public Schools, Arizona",NDA,AMPHITHEATER PUBLIC SCHOOLS,ARIZONA,,,,
"Western Carolina University, North Carolina",NDA,WESTERN CAROLINA UNIVERSITY,NORTH CAROLINA,,,,
"West Grand School District 1, Colorado",NDA,WEST GRAND SCHOOL DISTRICT 1,COLORADO,,,,
"Kutztown University of Pennsylvania, Pennsylvania",NDA,KUTZTOWN UNIVERSITY OF PENNSYLVANIA,PENNSYLVANIA,,,,
"Southwestern Community College District, California",NDA,SOUTHWESTERN COMMUNITY COLLEGE DISTRICT,CALIFORNIA,,,,
"Dalton Local School District, Ohio",NDA,DALTON LOCAL SCHOOL DISTRICT,OHIO,,,,
"City of Key West, Florida",NDA,CITY OF KEY WEST,FLORIDA,,,,
"University of Texas Health Science Center at San Antonio, Texas",NDA,UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO,TEXAS,,,,
"Rowan University, New Jersey",NDA,ROWAN UNIVERSITY,NEW JERSEY,,,,
"NC Department of Administration, North Carolina",NDA,NC DEPARTMENT OF ADMINISTRATION,NORTH CAROLINA,,,,
"Hopkins County School District, Kentucky",NDA,HOPKINS COUNTY SCHOOL DISTRICT,KENTUCKY,,,,
"Antelope Crossing Middle School, California",NDA,ANTELOPE CROSSING MIDDLE SCHOOL,CALIFORNIA,,,,
"Shiawassee Regional Education Service District, Michigan",NDA,SHIAWASSEE REGIONAL EDUCATION SERVICE DISTRICT,MICHIGAN,,,,
"Salem Public Schools, Massachusetts",NDA,SALEM PUBLIC SCHOOLS,MASSACHUSETTS,,,,
"Twin Rivers Unified School District, California",NDA,TWIN RIVERS UNIFIED SCHOOL DISTRICT,CALIFORNIA,,,,
"Clovis Municipal School District, New Mexico",NDA,CLOVIS MUNICIPAL SCHOOL DISTRICT,NEW MEXICO,,,,
"Pine Tree Independent School District, Texas",NDA,PINE TREE INDEPENDENT SCHOOL DISTRICT,TEXAS,,,,
"Community High School District No. 155, Illinois",NDA,COMMUNITY HIGH SCHOOL DISTRICT NO. 155,ILLINOIS,,,,
"Marshall Public Schools, Missouri",NDA,MARSHALL PUBLIC SCHOOLS,MISSOURI,,,,
"Wattsburg Area School District, Pennsylvania",NDA,WATTSBURG AREA SCHOOL DISTRICT,PENNSYLVANIA,,,,
"The University of Texas Health Science Center at Houston, Texas",NDA,THE UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT HOUSTON,TEXAS,,,,
"Fairfield Middle School, Iowa",NDA,FAIRFIELD MIDDLE SCHOOL,IOWA,,,,
"Hazlet Township School District, New Jersey",NDA,HAZLET TOWNSHIP SCHOOL DISTRICT,NEW JERSEY,,,,
"Pickaway-Ross County Joint Vocational School District, Ohio",NDA,PICKAWAY-ROSS COUNTY JOINT VOCATIONAL SCHOOL DISTRICT,OHIO,,,,
"Antelope School District, California",NDA,ANTELOPE SCHOOL DISTRICT,CALIFORNIA,,,,
"Lenox Public Schools, Massachusetts",NDA,LENOX PUBLIC SCHOOLS,MASSACHUSETTS,,,,
"City of Alamosa, Colorado",NDA,CITY OF ALAMOSA,COLORADO,,,,
"Harper College, Illinois",NDA,HARPER COLLEGE,ILLINOIS,,,,
"University of Texas at San Antonio, Texas",NDA,UNIVERSITY OF TEXAS AT SAN ANTONIO,TEXAS,,,,
"Gale-Ettrick-Trempealeau School District, Wisconsin",NDA,GALE-ETTRICK-TREMPEALEAU SCHOOL DISTRICT,WISCONSIN,,,,
"Thurgood Marshall Elementary, Texas",NDA,THURGOOD MARSHALL ELEMENTARY,TEXAS,,,,
"The University of Colorado - UCHealth Anschutz Medical Campus, Colorado",NDA,THE UNIVERSITY OF COLORADO - UCHEALTH ANSCHUTZ MEDICAL CAMPUS,COLORADO,,,,
"Juniata Valley School District, Pennsylvania",NDA,JUNIATA VALLEY SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Liberty Borough of Allegheny County, Pennsylvania",NDA,LIBERTY BOROUGH OF ALLEGHENY COUNTY,PENNSYLVANIA,,,,
"Manheim Central School Districts, Pennsylvania",NDA,MANHEIM CENTRAL SCHOOL DISTRICTS,PENNSYLVANIA,,,,
"Sioux Falls School District, South Dakota",NDA,SIOUX FALLS SCHOOL DISTRICT,SOUTH DAKOTA,,,,
"Tulpehocken Area School District, Pennsylvania",NDA,TULPEHOCKEN AREA SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Western Foothills Regional School Unit #10 (RSU 10), Maine",NDA,WESTERN FOOTHILLS REGIONAL SCHOOL UNIT #10 (RSU 10),MAINE,,,,
"Ashland-Greenwood Public Schools, Nebraska",NDA,ASHLAND-GREENWOOD PUBLIC SCHOOLS,NEBRASKA,,,,
"Township of Stafford, New Jersey",NDA,TOWNSHIP OF STAFFORD,NEW JERSEY,,,,
"Central Lee Community School District, Iowa",NDA,CENTRAL LEE COMMUNITY SCHOOL DISTRICT,IOWA,,,,
"University of South Florida, Florida",NDA,UNIVERSITY OF SOUTH FLORIDA,FLORIDA,,,,
"Governor Mifflin School District, Pennsylvania",NDA,GOVERNOR MIFFLIN SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Enterprise Elementary School District, California",NDA,ENTERPRISE ELEMENTARY SCHOOL DISTRICT,CALIFORNIA,,,,
"West Clermont Local School District, Ohio",NDA,WEST CLERMONT LOCAL SCHOOL DISTRICT,OHIO,,,,
"Iroquois School District, Pennsylvania",NDA,IROQUOIS SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Lake Mills Community School District, Iowa",NDA,LAKE MILLS COMMUNITY SCHOOL DISTRICT,IOWA,,,,
"Brigantine City School District, New Jersey",NDA,BRIGANTINE CITY SCHOOL DISTRICT,NEW JERSEY,,,,
"New Brighton Area School District, Pennsylvania",NDA,NEW BRIGHTON AREA SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Schertz-Cibolo-Universal City Independent School District, Texas",NDA,SCHERTZ-CIBOLO-UNIVERSAL CITY INDEPENDENT SCHOOL DISTRICT,TEXAS,,,,
"Burleson Independent School District, Texas",NDA,BURLESON INDEPENDENT SCHOOL DISTRICT,TEXAS,,,,
"Southwest Independent School District, Texas",NDA,SOUTHWEST INDEPENDENT SCHOOL DISTRICT,TEXAS,,,,
"Reeds Spring R-IV School District, Missouri",NDA,REEDS SPRING R-IV SCHOOL DISTRICT,MISSOURI,,,,
"Cherry Creek School District No. 5, Colorado",NDA,CHERRY CREEK SCHOOL DISTRICT NO. 5,COLORADO,,,,
"Thief River Falls Public School, Minnesota",NDA,THIEF RIVER FALLS PUBLIC SCHOOL,MINNESOTA,,,,
"Ocean Lakes High School, Virginia",NDA,OCEAN LAKES HIGH SCHOOL,VIRGINIA,,,,
"Westside High School, Texas",NDA,WESTSIDE HIGH SCHOOL,TEXAS,,,,
"August Knodt Elementary School, California",NDA,AUGUST KNODT ELEMENTARY SCHOOL,CALIFORNIA,,,,
"National Cancer Institute (NCI), Maryland",NDA,NATIONAL CANCER INSTITUTE (NCI),MARYLAND,,,,
"Community Memorial Hospital, Ohio",NDA,COMMUNITY MEMORIAL HOSPITAL,OHIO,,,,
"Pine-Richland School District, Pennsylvania",NDA,PINE-RICHLAND SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Catasauqua Area School District, Pennsylvania",NDA,CATASAUQUA AREA SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Tennessee State Department Of Corrections, Tennessee",NDA,TENNESSEE STATE DEPARTMENT OF CORRECTIONS,TENNESSEE,,,,
"Dunellen Borough School District, New Jersey",NDA,DUNELLEN BOROUGH SCHOOL DISTRICT,NEW JERSEY,,,,
"Town of North Reading, Massachusetts",NDA,TOWN OF NORTH READING,MASSACHUSETTS,,,,
"Harbor Creek School District, Pennsylvania",NDA,HARBOR CREEK SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Greeneview Local School District, Ohio",NDA,GREENEVIEW LOCAL SCHOOL DISTRICT,OHIO,,,,
"Fulton School District 58, Missouri",NDA,FULTON SCHOOL DISTRICT 58,MISSOURI,,,,
"Aberdeen School District, South Dakota",NDA,ABERDEEN SCHOOL DISTRICT,SOUTH DAKOTA,,,,
"John B Reibli Elementary, California",NDA,JOHN B REIBLI ELEMENTARY,CALIFORNIA,,,,
"New York City School District #26, New York",NDA,NEW YORK CITY SCHOOL DISTRICT #26,NEW YORK,,,,
"West Ada School District, Idaho",NDA,WEST ADA SCHOOL DISTRICT,IDAHO,,,,
"Friendswood Independent School District, Texas",NDA,FRIENDSWOOD INDEPENDENT SCHOOL DISTRICT,TEXAS,,,,
"Sutherlin School District, Oregon",NDA,SUTHERLIN SCHOOL DISTRICT,OREGON,,,,
"Bedford Area School District, Pennsylvania",NDA,BEDFORD AREA SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Coltrane-Webb STEM Elementary, North Carolina",NDA,COLTRANE-WEBB STEM ELEMENTARY,NORTH CAROLINA,,,,
"Piedmont VA Community College, Virginia",NDA,PIEDMONT VA COMMUNITY COLLEGE,VIRGINIA,,,,
"La Mesa-Spring Valley School District, California",NDA,LA MESA-SPRING VALLEY SCHOOL DISTRICT,CALIFORNIA,,,,
"Ridgewood Village School District, New Jersey",NDA,RIDGEWOOD VILLAGE SCHOOL DISTRICT,NEW JERSEY,,,,
"University of Connecticut, Connecticut",NDA,UNIVERSITY OF CONNECTICUT,CONNECTICUT,,,,
"Dexter R-XI Public Schools, Missouri",NDA,DEXTER R-XI PUBLIC SCHOOLS,MISSOURI,,,,
"Warren County R-III Schools, Missouri",NDA,WARREN COUNTY R-III SCHOOLS,MISSOURI,,,,
"C.C. Griffin STEM Middle School, North Carolina",NDA,C.C. GRIFFIN STEM MIDDLE SCHOOL,NORTH CAROLINA,,,,
"Kennett Consolidated School District, Pennsylvania",NDA,KENNETT CONSOLIDATED SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Mexico School District No. 59, Missouri",NDA,MEXICO SCHOOL DISTRICT NO. 59,MISSOURI,,,,
"Iowa State University, Iowa",NDA,IOWA STATE UNIVERSITY,IOWA,,,,
"Whitefish School District, Montana",NDA,WHITEFISH SCHOOL DISTRICT,MONTANA,,,,
"Hoover-Schrum Memorial School District #157, Illinois",NDA,HOOVER-SCHRUM MEMORIAL SCHOOL DISTRICT #157,ILLINOIS,,,,
"Marshall County Hospital, Kentucky",NDA,MARSHALL COUNTY HOSPITAL,KENTUCKY,,,,
"Harrisburg School District No. 41-2, South Dakota",NDA,HARRISBURG SCHOOL DISTRICT NO. 41-2,SOUTH DAKOTA,,,,
"Aptakisic-Tripp Community Consolidated School District No. 102, Illinois",NDA,APTAKISIC-TRIPP COMMUNITY CONSOLIDATED SCHOOL DISTRICT NO. 102,ILLINOIS,,,,
"Rutgers University, New Jersey",NDA,RUTGERS UNIVERSITY,NEW JERSEY,,,,
"Greene County Community School District Directory, Iowa",NDA,GREENE COUNTY COMMUNITY SCHOOL DISTRICT DIRECTORY,IOWA,,,,
"City of Rosemount, Minnesota",NDA,CITY OF ROSEMOUNT,MINNESOTA,,,,
"Plymouth Public Schools, Massachusetts",NDA,PLYMOUTH PUBLIC SCHOOLS,MASSACHUSETTS,,,,
"Town of Bedford, Massachusetts",NDA,TOWN OF BEDFORD,MASSACHUSETTS,,,,
"Blast Intermediate Unit 17, Pennsylvania",NDA,BLAST INTERMEDIATE UNIT 17,PENNSYLVANIA,,,,
"Oswayo Valley School District, Pennsylvania",NDA,OSWAYO VALLEY SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Horizon Science Academy - Belmont, Illinois",NDA,HORIZON SCIENCE ACADEMY - BELMONT,ILLINOIS,,,,
"New York City School District #8, New York",NDA,NEW YORK CITY SCHOOL DISTRICT #8,NEW YORK,,,,
"Bandera Independent School District, Texas",NDA,BANDERA INDEPENDENT SCHOOL DISTRICT,TEXAS,,,,
"Tallmadge City School District, Ohio",NDA,TALLMADGE CITY SCHOOL DISTRICT,OHIO,,,,
"Park Rapids Area Schools, Minnesota",NDA,PARK RAPIDS AREA SCHOOLS,MINNESOTA,,,,
"Wood Dale School District 7, Illinois",NDA,WOOD DALE SCHOOL DISTRICT 7,ILLINOIS,,,,
"Minneapolis Public Schools, Minnesota",NDA,MINNEAPOLIS PUBLIC SCHOOLS,MINNESOTA,,,,
"Cook County, Illinois",NDA,COOK COUNTY,ILLINOIS,,,,
"Westerville City School District, Ohio",NDA,WESTERVILLE CITY SCHOOL DISTRICT,OHIO,,,,
"Walpole Public Schools, Massachusetts",NDA,WALPOLE PUBLIC SCHOOLS,MASSACHUSETTS,,,,
"Lancaster School District, Pennsylvania",NDA,LANCASTER SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Lake Shore Central School District, New York",NDA,LAKE SHORE CENTRAL SCHOOL DISTRICT,NEW YORK,,,,
"Lowville Central School District, New York",NDA,LOWVILLE CENTRAL SCHOOL DISTRICT,NEW YORK,,,,
"County of Santa Clara, California",NDA,COUNTY OF SANTA CLARA,CALIFORNIA,,,,
"Elizabethtown Area School District, Pennsylvania",NDA,ELIZABETHTOWN AREA SCHOOL DISTRICT,PENNSYLVANIA,,,,
"City of Horton, Kansas",NDA,CITY OF HORTON,KANSAS,,,,
"Hesperia Unified School District, California",NDA,HESPERIA UNIFIED SCHOOL DISTRICT,CALIFORNIA,,,,
"Absecon City School District, New Jersey",NDA,ABSECON CITY SCHOOL DISTRICT,NEW JERSEY,,,,
"Durham County, North Carolina",NDA,DURHAM COUNTY,NORTH CAROLINA,,,,
"Sage Valley Junior High, Wyoming",NDA,SAGE VALLEY JUNIOR HIGH,WYOMING,,,,
"Bloomfield School District, New Mexico",NDA,BLOOMFIELD SCHOOL DISTRICT,NEW MEXICO,,,,
"Charles R. Drew Charter School, Georgia",NDA,CHARLES R. DREW CHARTER SCHOOL,GEORGIA,,,,
"Dublin City School District, Ohio",NDA,DUBLIN CITY SCHOOL DISTRICT,OHIO,,,,
"Georgetown Independent School District, Texas",NDA,GEORGETOWN INDEPENDENT SCHOOL DISTRICT,TEXAS,,,,
"Hunterdon County, New Jersey",NDA,HUNTERDON COUNTY,NEW JERSEY,,,,
"Pawnee City Schools, Nebraska",NDA,PAWNEE CITY SCHOOLS,NEBRASKA,,,,
"Santa Fe College, Florida",NDA,SANTA FE COLLEGE,FLORIDA,,,,
"Wareham Public Schools, Massachusetts",NDA,WAREHAM PUBLIC SCHOOLS,MASSACHUSETTS,,,,
"Texas A&M University System, Texas",NDA,TEXAS A&M UNIVERSITY SYSTEM,TEXAS,,,,
"Wharton County Jr College, Texas",NDA,WHARTON COUNTY JR COLLEGE,TEXAS,,,,
"Spirit Lake Community Schools, Iowa",NDA,SPIRIT LAKE COMMUNITY SCHOOLS,IOWA,,,,
"South River Borough School District, New Jersey",NDA,SOUTH RIVER BOROUGH SCHOOL DISTRICT,NEW JERSEY,,,,
"Camden Intermediate School, North Carolina",NDA,CAMDEN INTERMEDIATE SCHOOL,NORTH CAROLINA,,,,
"Englewood Public Schools, Colorado",NDA,ENGLEWOOD PUBLIC SCHOOLS,COLORADO,,,,
