Agency,Total spend (approx),DISTRICT_NAME,STATENAME,NATIONAL DATA ID,STREET_ADDRESS,CITY,COMPANY_DOMAIN
"Kenmore-Tonawanda Union Free School District, New York",NDA,KENMORE-TONAWANDA UNION FREE SCHOOL DISTRICT,NEW YORK,NCES_District-3616230,1500 COLVIN BLVD,BUFFALO,http://www.ktufsd.org
"Sun Prairie Area School District, Wisconsin",NDA,SUN PRAIRIE AREA SCHOOL DISTRICT,WISCONSIN,NCES_District-5514640,501 S Bird St,Sun Prairie,http://www.sunprairieschools.org
"Waunakee Community School District, Wisconsin",NDA,WAUNAKEE COMMUNITY SCHOOL DISTRICT,WISCONSIN,NCES_District-5515810,Administration and Maintenance,Waunakee,http://www.waunakee.k12.wi.us
"Norfolk City Public Schools, Virginia",NDA,NORFOLK CITY PUBLIC SCHOOLS,VIRGINIA,NCES_District-5102670,PO Box 1357,Norfolk,http://www.nps.k12.va.us
"Saline Area Schools, Michigan",NDA,SALINE AREA SCHOOLS,MICHIGAN,NCES_District-2630660,7265 N ANN ARBOR ST,SALINE,http://www.salineschools.org
"Shelby Eastern Schools, Indiana",NDA,SHELBY EASTERN SCHOOLS,INDIANA,NCES_District-1803210,2451 N 600 E,Shelbyville,http://www.ses.k12.in.us
"East Gibson School Corporation, Indiana",NDA,EAST GIBSON SCHOOL CORPORATION,INDIANA,NCES_District-1802940,941 S. Franklin St.,Oakland City,http://www.egsc.k12.in.us/
"Sweet Home Central School District, New York",NDA,SWEET HOME CENTRAL SCHOOL DISTRICT,NEW YORK,NCES_District-3628500,1901 SWEET HOME RD,AMHERST,http://www.sweethomeschools.org
"West Bloomfield School District, Michigan",NDA,WEST BLOOMFIELD SCHOOL DISTRICT,MICHIGAN,NCES_District-2635820,5810 COMMERCE RD,WEST BLOOMFIELD,
"Neenah Joint School District, Wisconsin",NDA,NEENAH JOINT SCHOOL DISTRICT,WISCONSIN,NCES_District-5510320,410 S Commercial St,Neenah,http://www.neenah.k12.wi.us
"Crandon School District, Wisconsin",NDA,CRANDON SCHOOL DISTRICT,WISCONSIN,NCES_District-5502910,9750 US Highway 8 W,Crandon,http://www.sdofcrandon.com
"Lake Travis ISD, Texas",NDA,LAKE TRAVIS ISD,TEXAS,NCES_District-4826470,3322 RANCH RD 620 S,AUSTIN,http://www.ltisdschools.org
"San Diego County Office of Education, California",NDA,SAN DIEGO COUNTY OFFICE OF EDUCATION,CALIFORNIA,NCES_District-0691030,6401 Linda Vista Rd.,San Diego,http://www.sdcoe.net
"Hamilton Southeastern Schools, Indiana",NDA,HAMILTON SOUTHEASTERN SCHOOLS,INDIANA,NCES_District-1810650,13485 Cumberland Rd,Fishers,http://www.hseschools.org/
"El Dorado School District, Arkansas",NDA,EL DORADO SCHOOL DISTRICT,ARKANSAS,NCES_District-0505680,200 W OAK ST,EL DORADO,http://www.eldoradopublicschools.com
"Hudson City School District, New York",NDA,HUDSON CITY SCHOOL DISTRICT,NEW YORK,NCES_District-3614940,215 HARRY HOWARD AVE,HUDSON,http://www.hudsoncsd.org
"Downsville Central School District, New York",NDA,DOWNSVILLE CENTRAL SCHOOL DISTRICT,NEW YORK,NCES_District-3609240,PO BOX J,DOWNSVILLE,http://www.dcseagles.org
"Killeen ISD, Texas",NDA,KILLEEN ISD,TEXAS,NCES_District-4825660,P O BOX 967,KILLEEN,http://www.killeenisd.org
"Randolph Township School District, New Jersey",NDA,RANDOLPH TOWNSHIP SCHOOL DISTRICT,NEW JERSEY,NCES_District-3413650,25 School House Road,Randolph,http://www.rtnj.org
